Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
 (12238) Actor             1987 YU1    L4    4.528   5.818  10.97  20201217  329.16  177.6  227.6   21.1  0.125   5.173    24     MPO593301
 (12242) Koon              1988 QY     L5    4.759   5.453  10.88  20201217  303.76   93.1  222.7   29.8  0.068   5.106    29     MPO593301
 (12444) Prothoon          1996 GE19   L5    4.860   5.621   9.97  20201217  321.99   65.3  213.2   30.8  0.073   5.240    25     MPO593305
 (12649) Ascanios          2035 T-3    L5    4.390   5.918  11.75  20201217  297.22  342.1  337.6    6.6  0.148   5.154    23     MPO593308
 (12658) Peiraios          1973 SL     L4    4.874   5.466  11.28  20201217  319.70  325.6  111.9    1.8  0.057   5.170    23     MPO593308
 (12714) Alkimos           1991 GX1    L4    5.048   5.425  10.29  20201217  281.55  162.3  298.9    9.5  0.036   5.236    24     MPO593309
 (12916) Eteoneus          1998 TL15   L4    5.035   5.252  11.45  20201217  278.00  214.4  219.3   26.4  0.021   5.143    22     MPO593313
 (12917)                   1998 TG16   L4    4.701   5.664  11.46  20201217  282.27  228.6  204.2   11.8  0.093   5.182    25     MPO593313
 (12921)                   1998 WZ5    L4    4.752   5.733  11.10  20201217  295.56  273.4  160.2   12.8  0.094   5.243    24     MPO593313
 (12929)                   1999 TZ1    L5    5.034   5.454  10.12  20201217  298.07  128.2  200.2   43.4  0.040   5.244    25     MPO593313
 (12972) Eumaios           1973 SF1    L4    4.359   5.924  11.72  20201217  353.23  339.7   40.5    8.4  0.152   5.141    21     MPO593314
 (12973) Melanthios        1973 SY1    L4    4.818   5.419  11.49  20201217  332.57   37.3  358.1    5.7  0.059   5.118    25     MPO593314
 (12974) Halitherses       1973 SB2    L4    4.912   5.453  11.40  20201217  355.78    3.4   15.2    7.6  0.052   5.182    25     MPO593314
 (13060)                   1991 EJ     L4    4.510   5.789  10.88  20201217  343.38   97.2  280.4   23.0  0.124   5.149    23     MPO593315
 (13062) Podarkes          1991 HN     L4    5.112   5.230  11.16  20201217   30.10  281.7   91.0    8.2  0.011   5.171    23     MPO593315
 (13181) Peneleos          1996 RS28   L4    4.508   5.931  12.04  20201217  259.71  103.8   10.9    2.5  0.136   5.220    21     MPO593318
 (13182)                   1996 SO8    L4    4.620   5.811  10.78  20201217  351.77   66.3  302.9    5.1  0.114   5.216    24     MPO593318
 (13183)                   1996 TW     L4    4.744   5.691  10.82  20201217   56.57  315.1    8.1   18.0  0.091   5.218    25     MPO593318
 (13184) Augeias           1996 TS49   L4    4.916   5.429  11.10  20201217   63.09   98.2  227.5    4.5  0.050   5.173    24     MPO593318
 (13185) Agasthenes        1996 TH52   L4    4.909   5.480  12.04  20201217  321.20   52.9    4.3    9.1  0.055   5.195    23     MPO593318
 (13229) Echion            1997 VB1    L4    4.867   5.649  11.69  20201217  238.38  166.8  343.0    3.8  0.074   5.258    21     MPO593318
 (13230)                   1997 VG1    L4    4.766   5.388  11.35  20201217  299.34   37.3   53.8    4.3  0.061   5.077    22     MPO593318
 (13323)                   1998 SQ     L4    4.623   5.553  11.11  20201217  281.24  254.9  182.5    0.9  0.091   5.088    24     MPO593320
 (13331)                   1998 SU52   L4    4.519   5.629  11.43  20201217  299.64  149.2  284.8    2.3  0.109   5.074    20     MPO593320
 (13353)                   1998 TU12   L4    4.484   5.862  11.48  20201217  259.92   75.3   41.9   15.4  0.133   5.173    22     MPO593321
 (13362)                   1998 UQ16   L4    5.039   5.320  11.08  20201217  185.48  119.2   57.9    9.3  0.027   5.180    27     MPO593321
